cell,cache_type,rows,embed_dim,dtype,distribution,n_keys,out_shape,bit_exact,mismatches,max_abs_diff,note
95,LinearUVM,4096,64,float32,uniform,1024,"(1024, 64)",1,0,0.0,
96,LinearUVM,4096,64,float32,zipf,1024,"(1024, 64)",1,0,0.0,
97,LinearUVM,4096,64,float32,sequential,1024,"(1024, 64)",1,0,0.0,
98,LinearUVM,4096,64,float32,hot_repeat,1024,"(1024, 64)",1,0,0.0,
99,LinearUVM,4096,64,float32,edges,1024,"(1024, 64)",1,0,0.0,
100,LinearUVM,4096,128,float16,uniform,1024,"(1024, 128)",1,0,0.0,
101,LinearUVM,4096,128,float16,zipf,1024,"(1024, 128)",1,0,0.0,
102,LinearUVM,4096,128,float16,sequential,1024,"(1024, 128)",1,0,0.0,
103,LinearUVM,4096,128,float16,hot_repeat,1024,"(1024, 128)",1,0,0.0,
104,LinearUVM,4096,128,float16,edges,1024,"(1024, 128)",1,0,0.0,
105,LinearUVM,4096,128,float32,uniform,1024,"(1024, 128)",1,0,0.0,
106,LinearUVM,4096,128,float32,zipf,1024,"(1024, 128)",1,0,0.0,
107,LinearUVM,4096,128,float32,sequential,1024,"(1024, 128)",1,0,0.0,
108,LinearUVM,4096,128,float32,hot_repeat,1024,"(1024, 128)",1,0,0.0,
109,LinearUVM,4096,128,float32,edges,1024,"(1024, 128)",1,0,0.0,
110,LinearUVM,4096,512,float16,uniform,1024,"(1024, 512)",1,0,0.0,
111,LinearUVM,4096,512,float16,zipf,1024,"(1024, 512)",1,0,0.0,
112,LinearUVM,4096,512,float16,sequential,1024,"(1024, 512)",1,0,0.0,
113,LinearUVM,4096,512,float16,hot_repeat,1024,"(1024, 512)",1,0,0.0,
114,LinearUVM,4096,512,float16,edges,1024,"(1024, 512)",1,0,0.0,
115,LinearUVM,4096,512,float32,uniform,1024,"(1024, 512)",1,0,0.0,
116,LinearUVM,4096,512,float32,zipf,1024,"(1024, 512)",1,0,0.0,
117,LinearUVM,4096,512,float32,sequential,1024,"(1024, 512)",1,0,0.0,
118,LinearUVM,4096,512,float32,hot_repeat,1024,"(1024, 512)",1,0,0.0,
119,LinearUVM,4096,512,float32,edges,1024,"(1024, 512)",1,0,0.0,
120,LinearUVM,65536,64,float16,uniform,1024,"(1024, 64)",1,0,0.0,
121,LinearUVM,65536,64,float16,zipf,1024,"(1024, 64)",1,0,0.0,
122,LinearUVM,65536,64,float16,sequential,1024,"(1024, 64)",1,0,0.0,
123,LinearUVM,65536,64,float16,hot_repeat,1024,"(1024, 64)",1,0,0.0,
124,LinearUVM,65536,64,float16,edges,1024,"(1024, 64)",1,0,0.0,
125,LinearUVM,65536,64,float32,uniform,1024,"(1024, 64)",1,0,0.0,
126,LinearUVM,65536,64,float32,zipf,1024,"(1024, 64)",1,0,0.0,
127,LinearUVM,65536,64,float32,sequential,1024,"(1024, 64)",1,0,0.0,
128,LinearUVM,65536,64,float32,hot_repeat,1024,"(1024, 64)",1,0,0.0,
129,LinearUVM,65536,64,float32,edges,1024,"(1024, 64)",1,0,0.0,
130,LinearUVM,65536,128,float16,uniform,1024,"(1024, 128)",1,0,0.0,
131,LinearUVM,65536,128,float16,zipf,1024,"(1024, 128)",1,0,0.0,
132,LinearUVM,65536,128,float16,sequential,1024,"(1024, 128)",1,0,0.0,
133,LinearUVM,65536,128,float16,hot_repeat,1024,"(1024, 128)",1,0,0.0,
134,LinearUVM,65536,128,float16,edges,1024,"(1024, 128)",1,0,0.0,
135,LinearUVM,65536,128,float32,uniform,1024,"(1024, 128)",1,0,0.0,
136,LinearUVM,65536,128,float32,zipf,1024,"(1024, 128)",1,0,0.0,
137,LinearUVM,65536,128,float32,sequential,1024,"(1024, 128)",1,0,0.0,
138,LinearUVM,65536,128,float32,hot_repeat,1024,"(1024, 128)",1,0,0.0,
139,LinearUVM,65536,128,float32,edges,1024,"(1024, 128)",1,0,0.0,
140,LinearUVM,65536,512,float16,uniform,1024,"(1024, 512)",1,0,0.0,
141,LinearUVM,65536,512,float16,zipf,1024,"(1024, 512)",1,0,0.0,
142,LinearUVM,65536,512,float16,sequential,1024,"(1024, 512)",1,0,0.0,
